Question, a, b, c, d, e, answer_choice


Alexander Hamiltons economic program was designed primarily to , prepare the United States for war in the event Britain failed to vacate its posts in the Northwest,   provide a platform for the fledgling Federalist Partys 1792 campaign,   establish the financial stability and credit of the new government ,   ensure northern dominance over the southern states in order to abolish slavery ,   win broad political support for his own candidacy for the presidency in 1792, c

The development of the early nineteenth-century concept of separate spheres for the sexes encouraged all of the following EXCEPT, accepting women as intellectual equals of men,   idealizing the home as a haven in a competitive world    ,   designating the home as the appropriate place for a woman,   emphasizing childrearing as a prime duty of a woman , establishing a moral climate in the home, a

The Kentucky and Virginia resolutions the Hartford Convention and the South Carolina Exposition and Protest were similar in that all involved a defense of, freedom of the seas    ,   freedom of speech    ,   the institution of slavery,   states rights,   presidential power in foreign affairs    ,   d

The graph above refutes which of the following statements?, There were more Black people than White people in the antebellum South .,   Most southern families held slaves .,   Most southern families lived in rural areas ., The southern population was much smaller than that of the North . ,   Slaveholders were an extremely powerful group .,   b
    
Frederick Jackson Turners frontier hypothesis focused on the importance of  ,the traditions of western European culture ,   the absence of a feudal aristocracy ,   Black people and Black slavery ,   the conflict between capitalists and workers ,   the existence of cheap unsettled land ,   e
    
During the closing decades of the nineteenth century farmers  complained about all of the following EXCEPT, rising commodity prices,   high interest charges,   high freight rates,   high storage costs,   large middleman profits,   a
    
The Roosevelt Corollary to the Monroe Doctrine did which of the  following?, Prohibited United States intervention in the Caribbean .,   Warned against European seizure of the Panama Canal .,   Sought to end the wave of nationalization of American-owned property in the Caribbean . ,   Declared the United States to be the policeman of the Western Hemisphere .,   Provided United States military support for democratic  revolutions in Latin America .,   d
    
One of the principal reasons the noble experiment of Prohibition failed was that it led to an enormous increase in,  drinking among minors,   absenteeism among factory workers,   the divorce rate,   child abuse,   law enforcement challenges,   e
    
Brown v . Board of Education of Topeka was a Supreme Court decision that,  was a forerunner of the Kansas-Nebraska Act,   established free public colleges in the United States,   declared racially segregated public schools inherently unequal,   established free public elementary and secondary schools in the United States,   provided for federal support of parochial schools, c
    
Joseph McCarthys investigative tactics found support among many Americans because, evidence substantiated his charges against the army,   there was widespread fear of communist infiltration of the United States,   both Truman and Eisenhower supported him,   he worked closely with the FBI,   he correctly identified numerous communists working in the State Department, b
    
The Tet offensive of  during the Vietnam War demonstrated that,  bombing North Vietnam had severely curtailed Vietcong supplies,   the army of South Vietnam was in control of the South,   American strategy was working,   a negotiated settlement was in the near future ,   the Vietcong could attack major cities throughout South Vietnam ,e
    
Liberty of conscience was defended by Roger Williams on the grounds that,  all religions were equal in the eyes of God, the signers of the Mayflower Compact had guaranteed it,   Puritan ideas about sin and salvation were outmoded,   theological truths would emerge from the clash of ideas,   the state was an improper and ineffectual agency in matters of the spirit, e
    
By the end of the seventeenth century which of the following was true of women in New England?, They had begun to challenge their subordinate role in society . ,   They were a majority in many church congregations . ,   They voted in local elections .,   They frequently divorced their husbands . ,   They could lead town meetings .,   b
    
The First Great Awakening led to all of the following EXCEPT, separatism and secession from established churches,   the renewed persecution of witches,   the growth of institutions of higher learning,   a flourishing of the missionary spirit,   a greater appreciation for the emotional experiences of faith, b

