Question,A,B,C,D,Answer,Letter,Source
"Who was the founder of the Million Man March held in Washington, D.C. , in 1995?",Louis Farrakhan,Jesse Jackson,Michael Jackson,,Jesse Jackson,B,Trivial Pursuit - EA Games iPhone
Who was the first female Speaker of the House of Representatives?,Nancy Pelosi,Deborah Pryce,Kay Granger,,Nancy Pelosi,A,Trivial Pursuit - EA Games iPhone
What was Google ordered to provide to Viacom in July 2008?,$10.3 million,Financial records,ID of every YouTube viewer,,ID of every YouTube viewer,C,Trivial Pursuit - EA Games iPhone
What punishment did Michael P. Fay receive for spray-painting cars in Singapore,"Prison, a fine, and caning",Expulsion from Singapore,A day in the stocks,,"Prison, a fine, and caning",A,Trivial Pursuit - EA Games iPhone
What did New York City major Rudolph Guiliani receive from QueenElizabeth II in 2002?,Honorary knighthood,Birthday present,Key to the city of London,,Honorary knighthood,A,Trivial Pursuit - EA Games iPhone
What woman was arrested for voting in the 1872 election for U.S. president?,,,,,Susan B. Anthony,,Trivial Pursuit Board Game
What was the largest city in the U.S. when the first census was taken in 1790?,,,,,Philadelphia,,Trivial Pursuit Board Game
"What sport did two teams of Union Army soldiers play before a crowd of 40,000 at Hilton Head, South Carolina in 1862?",,,,,Baseball,,Trivial Pursuit Board Game
What western state led the U.S. in percent increase in population from 1980 to 1989?,,,,,Nevada,,Trivial Pursuit Board Game
"What became America’s first organized sport, in 1664?",,,,,Horse racing ,,Trivial Pursuit Board Game
What team won the first national college football championship?,,,,,Yale,,Trivial Pursuit Board Game
"What team sport's rules were first printed in 1892 in the newspaper of a Springfield, Massachusetts YMCA training school?",,,,,Basketball,,Trivial Pursuit Board Game
"Who told the American public in 1974: ""Our long national nightmare is over""?",,,,,Gerald Ford,,Trivial Pursuit Board Game
What former U.S. president's son began hosting his own nightly talk show in 1991?,,,,,Ronald Reagan,,Trivial Pursuit Board Game
What president had solar panels installed on the white house roof?,,,,,Jimmy Carter,,Trivial Pursuit Board Game
Who was the only U.S. president to have earned a Ph.D.?,,,,,Woodrow Wilson,,Trivial Pursuit Board Game
Who was the first U.S. President to hold a televised news conference?,,,,, Dwight Eisenhower,,Trivial Pursuit Board Game
"What U.S. president's middle initial ""S"" did not stand for a name? ",,,,,Harry S Truman,,Trivial Pursuit Board Game
What ex-president missed the slab of pork while showing off his ax-wielding skills to a group of Moscow  butchers?,,,,,Richard Nixon,,Trivial Pursuit Board Game
What U.S. city was once know as Federal City,,,,,"Washington, D.C.",,Trivial Pursuit Board Game
"What French port did 200,000 British troops flee on June 4, 1940?",,,,,Dunkirk,,Trivial Pursuit Board Game
Who was the official hair consultant to the 1984 Los Angeles Olympics?,,,,,Vidal Sassoon,,The Ten Best Trivial Pursuit Questions
